WKT,id,start_date,end_date,description,user_id,created,last_modified,source_id,type,night_bombing,map_sheet_id
"POINT (-0.304370633772843 51.5194548531712)","4572",1940/10/08 23:00:00,1940/10/09 22:59:59,,"1",2012/10/14 20:06:42,2012/10/14 20:06:42,"4",XB,false,
"POINT (-0.304441043536013 51.5202291263012)","4571",1940/10/08 23:00:00,1940/10/09 22:59:59,,"1",2012/10/14 20:06:42,2012/10/14 20:06:42,"4",XB,false,
"POINT (-0.300897398000719 51.5235183148737)","4570",1940/10/10 23:00:00,1940/10/11 22:59:59,,"1",2012/10/14 20:06:42,2012/10/14 20:06:42,"4",XB,false,
"POINT (-0.299780598157787 51.5242135283995)","4569",1940/10/10 23:00:00,1940/10/11 22:59:59,,"1",2012/10/14 20:06:42,2012/10/14 20:06:42,"4",XB,false,
"POINT (-0.301148828646925 51.5260891632079)","4568",1940/10/10 23:00:00,1940/10/11 22:59:59,,"1",2012/10/14 20:06:42,2012/10/14 20:06:42,"4",XB,false,
"POINT (-0.285758938754586 51.5265457446504)","4567",1940/10/10 23:00:00,1940/10/11 22:59:59,,"1",2012/10/14 20:06:42,2012/10/14 20:06:42,"4",XB,false,
"POINT (-0.308845850779325 51.5204473634815)","4566",1940/10/12 23:00:00,1940/10/13 22:59:59,,"1",2012/10/14 20:06:42,2012/10/14 20:06:42,"4",XB,false,
"POINT (-0.309904854422328 51.519967743074)","4565",1940/10/12 23:00:00,1940/10/13 22:59:59,,"1",2012/10/14 20:06:42,2012/10/14 20:06:42,"4",XB,false,
"POINT (-0.268212865117362 51.5171635799365)","4564",1940/10/12 23:00:00,1940/10/13 22:59:59,,"1",2012/10/14 20:06:42,2012/10/14 20:06:42,"4",XB,false,
"POINT (-0.206390377055167 51.5158015038783)","4563",1940/10/07 23:00:00,1940/10/08 22:59:59,,"1",2012/10/14 20:06:42,2012/10/14 20:06:42,"4",XB,false,
"POINT (-0.207767226087781 51.5135646163285)","4562",1940/10/07 23:00:00,1940/10/08 22:59:59,,"1",2012/10/14 20:06:42,2012/10/14 20:06:42,"4",XB,false,
"POINT (-0.208227701425263 51.5132004842931)","4561",1940/10/07 23:00:00,1940/10/08 22:59:59,,"1",2012/10/14 20:06:42,2012/10/14 20:06:42,"4",XB,false,
"POINT (-0.199998172346756 51.5131982021701)","4560",1940/10/07 23:00:00,1940/10/08 22:59:59,,"1",2012/10/14 20:06:42,2012/10/14 20:06:42,"4",XB,false,
"POINT (-0.215534019853915 51.5152604949098)","4559",1940/10/08 23:00:00,1940/10/09 22:59:59,,"1",2012/10/14 20:06:42,2012/10/14 20:06:42,"4",XB,false,
"POINT (-0.245167264310634 51.5143466352647)","4558",1940/10/13 23:00:00,1940/10/14 22:59:59,,"1",2012/10/14 20:06:42,2012/10/14 20:06:42,"4",XB,false,
"POINT (-0.24371291078951 51.5134897453147)","4557",1940/10/13 23:00:00,1940/10/14 22:59:59,,"1",2012/10/14 20:06:41,2012/10/14 20:06:41,"4",XB,false,
"POINT (-0.232554487119182 51.5148686602749)","4556",1940/10/09 23:00:00,1940/10/10 22:59:59,,"1",2012/10/14 20:06:41,2012/10/14 20:06:41,"4",XB,false,
"POINT (-0.230525820180994 51.5160443637513)","4555",1940/10/09 23:00:00,1940/10/10 22:59:59,,"1",2012/10/14 20:06:41,2012/10/14 20:06:41,"4",XB,false,
"POINT (-0.167844473826627 51.5126694164817)","4554",1940/10/12 23:00:00,1940/10/13 22:59:59,,"1",2012/10/14 20:06:41,2012/10/14 20:06:41,"4",XB,false,
"POINT (-0.167625208978452 51.5131918140914)","4553",1940/10/12 23:00:00,1940/10/13 22:59:59,,"1",2012/10/14 20:06:41,2012/10/14 20:06:41,"4",XB,false,
"POINT (-0.168204871137205 51.5135720375588)","4552",1940/10/12 23:00:00,1940/10/13 22:59:59,,"1",2012/10/14 20:06:41,2012/10/14 20:06:41,"4",XB,false,
"POINT (-0.169341942073318 51.513651651887)","4551",1940/10/12 23:00:00,1940/10/13 22:59:59,,"1",2012/10/14 20:06:41,2012/10/14 20:06:41,"4",XB,false,
"POINT (-0.169330788693303 51.5139298545439)","4550",1940/10/12 23:00:00,1940/10/13 22:59:59,,"1",2012/10/14 20:06:41,2012/10/14 20:06:41,"4",XB,false,
"POINT (-0.175008828759017 51.5145132312387)","4549",1940/10/12 23:00:00,1940/10/13 22:59:59,,"1",2012/10/14 20:06:41,2012/10/14 20:06:41,"4",XB,false,
"POINT (-0.175822721874469 51.5152372986612)","4548",1940/10/12 23:00:00,1940/10/13 22:59:59,,"1",2012/10/14 20:06:41,2012/10/14 20:06:41,"4",XB,false,
"POINT (-0.175015134394778 51.5155959045741)","4547",1940/10/12 23:00:00,1940/10/13 22:59:59,,"1",2012/10/14 20:06:41,2012/10/14 20:06:41,"4",XB,false,
"POINT (-0.181987566605959 51.5148071928795)","4546",1940/10/13 23:00:00,1940/10/14 22:59:59,,"1",2012/10/14 20:06:41,2012/10/14 20:06:41,"4",XB,false,
"POINT (-0.18346502126401 51.5138093710852)","4545",1940/10/13 23:00:00,1940/10/14 22:59:59,,"1",2012/10/14 20:06:41,2012/10/14 20:06:41,"4",XB,false,
"POINT (-0.184728255829113 51.5132103146605)","4544",1940/10/13 23:00:00,1940/10/14 22:59:59,,"1",2012/10/14 20:06:41,2012/10/14 20:06:41,"4",XB,false,
"POINT (-0.155898044859119 51.5126368485112)","4543",1940/10/09 23:00:00,1940/10/10 22:59:59,,"1",2012/10/14 20:06:41,2012/10/14 20:06:41,"4",XB,false,
