WKT,id,start_date,end_date,description,user_id,created,last_modified,source_id,type,night_bombing,map_sheet_id
"POINT (-0.120189 51.489794)","619",1940/09/07 14:48:00,1940/09/07 14:48:00,"Vauxhall Walk, Lambeth, Se11, London, UK ; Minor fire and explosion damage","1",2012/02/19 18:00:00,2012/02/19 20:04:00,"1",IB,false,
"POINT (-0.12777 51.500302)","618",1940/09/07 14:46:00,1940/09/07 14:46:00,"Jeffreys Road, Clapham SW4, London, UK ; Suspected presence of IB","1",2012/02/19 18:00:00,2012/02/19 20:04:00,"1",IB,false,
"POINT (-0.205746 51.496751)","617",1940/09/07 14:46:00,1940/09/07 14:46:00,"7 Pembroke Gardens, Kensington w8, London, UK ; IB unignited","1",2012/02/19 18:00:00,2012/02/19 20:04:00,"1",IB,false,
"POINT (-0.137828 51.492868)","616",1940/09/07 14:46:00,1940/09/07 14:46:00,"Vauxhall Bridge Road Pimlico SW1, London, UK ; 2x1 roadway damage","1",2012/02/19 18:00:00,2012/02/19 20:04:00,"1",IB,false,
"POINT (-0.12777 51.500302)","615",1940/09/07 14:45:00,1940/09/07 14:45:00,"51 Paradise Road, Clapham, SW4, London, UK ; IB burned out in garden","1",2012/02/19 18:00:00,2012/02/19 20:04:00,"1",IB,false,
"POINT (-0.129542 51.471977)","614",1940/09/07 14:45:00,1940/09/07 14:45:00,"99 Larkhall lane, Clapham SW4, London, UK ; 2x1 roof damage","1",2012/02/19 18:00:00,2012/02/19 20:04:00,"1",IB,false,
"POINT (-0.046566 51.490217)","612",1940/09/07 14:44:00,1940/09/07 14:44:00,"Oldfield Grove, Rotherithe SE16, London, UK ; Rope and Twine makers: 600x40 building, store and workhouse severely damaged and fallen down.","1",2012/02/19 18:00:00,2012/02/19 20:04:00,"1",IB,false,
"POINT (-0.094149 51.49035)","610",1940/09/07 14:43:00,1940/09/07 14:43:00,"43 Browing Street, SE17, London, UK ; Back rooms 1st floor damaged","1",2012/02/19 18:00:00,2012/02/19 20:04:00,"1",IB,false,
"POINT (-0.092813 51.488945)","609",1940/09/07 14:43:00,1940/09/07 14:43:00,"Browning Street, King and Queen Street, SE17, London, UK ; Shop and house of 3 rooms damaged","1",2012/02/19 18:00:00,2012/02/19 20:04:00,"1",XB,false,
"POINT (-0.092896 51.489681)","608",1940/09/07 14:43:00,1940/09/07 14:43:00,"31a Morecambe Street , SE17, London, UK ; Shop and house of 8 rooms damaged","1",2012/02/19 18:00:00,2012/02/19 20:04:00,"1",XB,false,
"POINT (-0.093574 51.469045)","607",1940/09/07 14:43:00,1940/09/07 14:43:00,"Caldecot Road, Camberwell, SE5, London, UK ; London County Council. 85 ""U"" sub-station 2x1 tar damaged","1",2012/02/19 18:00:00,2012/02/19 20:04:00,"1",IB,false,
"POINT (-0.111663 51.491432)","606",1940/09/07 14:42:00,1940/09/07 14:42:00,"5 Ethelred Strret SE11, London, UK ; Minor fire and explosion damage","1",2012/02/19 18:00:00,2012/02/19 20:04:00,"1",IB,false,
"POINT (-0.110407 51.488296)","605",1940/09/07 14:42:00,1940/09/07 14:42:00,"61 Cleaver Street, SE11, London, UK ; IB in yard","1",2012/02/19 18:00:00,2012/02/19 20:04:00,"1",IB,false,
"POINT (-0.18907 51.440166)","604",1940/09/07 14:41:00,1940/09/07 14:41:00,"Summerley Street, Wandworth, SW18, London, UK ; Southern trains 1x1 of deck planking damaged on bridge","1",2012/02/19 18:00:00,2012/02/19 20:04:00,"1",IB,false,
"POINT (-0.12777 51.500302)","603",1940/09/07 14:40:00,1940/09/07 14:40:00,"65 Effra Road, Brixton SW2, London, UK ; London County Council Architects Department. IB burned out in garden","1",2012/02/19 18:00:00,2012/02/19 20:04:00,"1",IB,false,
"POINT (-0.205746 51.496751)","601",1940/09/07 14:39:00,1940/09/07 14:39:00,"Girdlers Road West Kensington w14, London, UK ; Roadway, Pavement, 4 inch gas main, a house and it's contents damaged","1",2012/02/19 18:00:00,2012/02/19 20:04:00,"1",XB,false,
"POINT (-0.079302 51.524689)","600",1940/09/07 14:35:00,1940/09/07 14:35:00,"391 Mile End Road, E, London, UK ; Buildings and contents severely damaged","1",2012/02/19 18:00:00,2012/02/19 20:04:00,"1",XB,false,
